course_anonid,lecturer_anonid,lecture_id,discipline,year,month,day,slot,coder,time,code,duration,lecture_date,session_number,lecturer_and_session,title,simple_title,code_grp,duration_int
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3037,LR,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3039,LQ,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3041,LT,18,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3059,LQ,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3061,LT,6,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3067,LQ,3,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3070,LT,19,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3089,LQ,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3091,LT,33,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3124,LQ,4,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
